date,subject,predicate,object,extracted_entities
2023-01-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,foreign currency crisis and devaluation,[]
2023-07-19,The difference between country-wide imports and exports.,contributed to growth,strong net exports,[]
2023-02-05,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts imports,War disrupts supply chains,[]
2023-05-14,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",halts purchases,refuse purchases under sanctions,[]
2023-06-07,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",increases import buying price,depreciation raises buying price,[]
2023-06-14,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",restricts imports,dollar crunch limits LCs,[]
2023-06-14,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",aggravates currency crisis,power sector aggravates dollar,[]
2023-01-02,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,currency crisis hampers imports,[]
2023-06-19,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",commits to import,LNG import agreement signed,[]
2023-02-24,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,Government measures increased imports,[]
2023-06-07,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces import pressure,call for import substitution,[]
2023-06-04,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts import flows,imports disrupted by crisis,[]
2023-06-05,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives up import costs,taka depreciation raises import costs,[]
2023-02-15,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",prevents LC opening,dollar crisis blocked LC,[]
2023-04-06,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",accelerates energy imports,draft plan accelerates imports,[]
2023-04-06,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",necessitates LNG imports,domestic fuel insufficiency,[]
2023-05-16,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages imports,reserves fall curbs imports,[]
2023-02-24,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,government measures increased imports,[]
2023-06-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages import,higher regulatory duties,[]
2023-06-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",encourages container import,container duty reduction,[]
2023-01-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",negatively impacts imports,currency crisis reduces imports,[]
2023-06-06,The difference between country-wide imports and exports.,cuts exports,production disruptions reduce exports,[]
2023-07-14,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",discourages imports,62% import tariff,[]
2023-07-19,The difference between country-wide imports and exports.,strengthens balance_of_trade,imports fell sharply,[]
2023-01-01,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",negatively impacts imports,currency crisis affecting imports,[]
2023-07-03,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases import volume,government permission triggered imports,[]
2023-02-23,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces imports,banks refuse LCs,[]
2023-06-05,"Volatility in the exchange rate (e.g., USD to BDT) affecting import costs.",drives up import costs,Taka depreciation raises costs,[]
