Date,Product,Sales,Production,Factory_Issue,Delivery,Group,Sub-Group,holiday_type,holiday_name,Rainfall,Sunshine,Humidity,Temperature,category,scope_or_location,typical_rain_mm,Sales_lag_1,Sales_lag_2,Sales_lag_3,Sales_lag_7,Sales_lag_14,Sales_lag_21,Sales_lag_28,production_sales_ratio,delivery_sales_ratio,factory_issue_rate,inventory_proxy,interest_rate_value,stock_market_close,inflation_rate,balance_of_trade,exports,imports,currency_log_return,currency_momentum_5d
2023-01-01,0,0.09032169840347343,0.07953762129487248,0.04944690829382678,0.03818113085272994,0,0,2,13,0.0,0.38095238095238093,0.7777777777777777,0.2222222222222221,7,1,0.0,,,,,,,,0.5677517030402152,0.2676003026996214,0.6466666662355555,0.6211922065268876,,,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,,
2023-01-02,0,0.03657994598475268,0.07953762129487248,0.08767905388183718,0.1251282605173625,0,0,2,13,0.0,0.5238095238095237,0.6190476190476191,0.28019323671497587,4,6,,0.09032169840347343,,,,,,,1.4018691575683464,2.165420558723906,1.1466666659022222,0.6252059504138674,,0.0,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,,
2023-01-03,0,0.0805100680318622,0.10605016172649663,0.15109343936381708,0.11965221148134153,0,0,2,13,0.0,0.0,0.873015873015873,0.14009661835748777,4,6,,0.03657994598475268,0.09032169840347343,,,,,,0.8492568998516956,0.9408067936557084,1.4819999992589998,0.6218922781350817,,0.03788118602933821,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.12719406376775622,
2023-01-04,0,0.031103210146661665,0.10605016172649663,0.1154610796757914,0.13171680077766384,0,0,2,13,0.0,0.0,0.9365079365079365,0.07246376811594202,4,6,,0.0805100680318622,0.03657994598475268,0.09032169840347343,,,,,2.19828533502057,2.6808089660575853,1.13249999943375,0.6320685190317918,,0.13057929724596562,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.557713982908631,
2023-01-05,0,0.11979077638371344,0.10605016172649663,0.05607381352908192,0.03973645838958797,0,0,2,13,0.0,0.12380952380952381,0.8571428571428572,0.09178743961352642,4,6,,0.031103210146661665,0.0805100680318622,0.03657994598475268,,,,,0.5707762555448698,0.2099885844149576,0.549999999725,0.6180297497154719,,0.08483697372586363,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.6004467833972135,
2023-01-06,0,0.0,0.053025080863248315,0.07325279094662793,0.0619430793325053,0,0,2,13,0.0,0.0761904761904762,0.9047619047619047,0.05797101449275355,4,6,,0.11979077638371344,0.031103210146661665,0.0805100680318622,,,,,1000000000.0,1147000000.0,1.436999998563,0.6273640378247272,,0.07607892793078008,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.5491831274442055,
2023-01-07,0,0.0003418686540631091,0.07953762129487248,0.08523219656420451,0.09002538208133072,0,0,2,13,0.0,0.0,0.9682539682539681,0.0,4,6,,0.0,0.11979077638371344,0.031103210146661665,,,,,149.99998500000152,166.6999833300017,1.1146666659235556,0.6412721271075177,,,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.5662655032058588,0.40344975677577444
2023-01-08,0,0.11356876687976485,0.07953762129487248,0.051434979864403325,0.06615542474482912,0,0,2,13,0.0,0.24761904761904763,0.8888888888888888,0.13043478260869557,4,6,,0.0003418686540631091,0.0,0.11979077638371344,0.09032169840347343,,,,0.45153521961121756,0.3687537626824944,0.6726666662182221,0.6242650541724544,,,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.5662655032058588,0.7071077501841676
2023-01-09,0,0.07705719462582479,0.07953762129487248,0.1595045113931794,0.18912026786196479,0,0,2,13,0.0,0.5428571428571428,0.6031746031746033,0.31400966183574874,4,6,,0.11356876687976485,0.0003418686540631091,0.0,0.03657994598475268,,,,0.6654835844429976,1.5536557224695406,2.085999998609333,0.6172270009380759,,0.07212197952938482,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.753269537673161,0.8423522731156884
2023-01-10,0,0.08252709309083454,0.10605016172649663,0.06117143294081664,0.08419290381811313,0,0,2,13,0.0,0.5714285714285714,0.4285714285714286,0.3719806763285024,4,6,,0.07705719462582479,0.11356876687976485,0.0003418686540631091,0.0805100680318622,,,,0.8285004139070007,0.645816072640507,0.5999999997,0.6133626056608442,,0.1445605149308804,0.0,0.6001353179972937,0.8237012309618192,0.4812447765596577,0.6506175313793139,0.8770499265990015
