,Sales
0,0.09032169840347343
1,0.03657994598475268
2,0.0805100680318622
3,0.031103210146661665
4,0.11979077638371344
5,0.0
6,0.0003418686540631091
7,0.11356876687976485
8,0.07705719462582479
9,0.08252709309083454
10,0.049673515435369756
11,0.06905746812074803
12,0.0
13,0.011575672626576876
14,0.08997982974941032
15,0.07873235103073403
16,0.05969026699941885
17,0.05801511059450962
18,0.049810262896995
19,0.0
20,0.01733274076099963
21,0.03969095073672697
22,0.03828928925506822
23,0.029537451711052626
24,0.008444155755358795
25,0.04140029400704251
26,0.0
27,0.0005128029810946637
28,0.08355269905302387
29,0.019452326416190907
30,0.07182660421865922
31,0.006167310519298488
32,0.010495367679737449
33,0.0
34,0.0075211103893884
35,0.025024785477419587
36,0.049229086185087714
37,0.036990188369628405
38,0.019452326416190907
39,0.06365594338655091
40,0.0
41,0.050425626474308594
42,0.05223753034084307
43,0.06033981744213876
44,0.12385901336706442
45,0.0414755051109364
46,0.011445762538032892
47,0.0
48,0.00037605551946942004
49,0.03750299135072307
50,0.07702300776041848
51,0.0
52,0.08321083039896075
53,0.012478205873303483
54,0.0
55,0.0002734949232504873
56,0.03158866363543128
57,0.029332330518614762
58,0.028682780075894854
59,0.005052818707052753
60,0.10218454069946331
61,0.0
62,0.001196540289220882
63,0.0535708180916892
64,0.0150422207787768
65,0.012614953334928725
66,0.0
67,0.04362244025845272
68,0.0
69,0.0063861064578988784
70,0.02358893713035453
71,0.011110731257051046
72,0.013777306758743297
73,0.0017093432703155454
74,0.00435540665276401
75,0.0
76,0.0003418686540631091
77,0.008512529486171417
78,0.004786161156883528
79,0.006222009503948586
80,0.019725821339441396
81,0.002393080578441764
82,0.0
83,0.0010256059621893273
84,0.0
85,0.008786024409421904
86,0.006495504427199073
87,0.0030084441557553603
88,0.0029469077980240005
89,0.0
90,0.0150422207787768
91,0.005093842945540326
92,0.12214967009674889
93,0.04738299545314692
94,0.006324570100167518
95,0.024477795630918613
96,0.0
97,0.0008546716351577727
98,0.03779016102013608
99,0.03333219377115314
100,0.0535708180916892
101,0.038084168062630354
102,0.053775939284127064
103,0.0
