,json_file,title,date,url,source,feature,edge_label,event_summary,triplet_semantic,quote_similarity,quote_best_match,judge_verdict,judge_reasoning,triplet_date,subject,predicate,object,parse_ok,new_subject,new_predicate,new_object,new_triplet,normalized_direction,normalized_triplet,refined_subject,refined_triplet,attribute
0,llm_response_0015_Asian_News_International_ANI_20230124.json,Bangladesh may overtake China to be EU's biggest apparel source,2023-01-24,https://www.aninews.in/news/world/asia/bangladesh-may-overtake-china-to-be-eus-biggest-apparel-source20230124225226/,Asian News International (ANI),imports,diverts work orders,Work orders shift to Bangladesh,"2023-01-24, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> diverts work orders -> Work orders shift to Bangladesh",0.985,"This is resulting in work orders being shifted from China to other Asian countries like Bangladesh,",CONFIRMED,"The quoted sentence appears verbatim in the article: 'This is resulting in work orders being shifted from China to other Asian countries like Bangladesh...'. The article explicitly presents a cause-and-effect link between China’s industrial shift and work orders moving to Bangladesh, and it is discussed at the country/industry level rather than a single-company level.",2023-01-24,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",diverts work orders,Work orders shift to Bangladesh,True,Work Orders Shift,diverts work orders,Bangladesh,(Work Orders Shift) ── diverts work orders ──> (Bangladesh),decrease,(Work Orders Shift) ── decrease ──> (imports),Work Orders Shift to Bangladesh,(Work Orders Shift to Bangladesh) ── decrease ──> (imports),"""Work Orders Shift: Market Dynamics"""
1,llm_response_0034_ANN_20230110.json,Overcoming looming economic challenges in 2023,2023-01-10,https://asianews.network/overcoming-looming-economic-challenges-in-2023/,ANN,imports,worsens import balance,Import growth raises deficit,"2023-01-10, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> worsens import balance -> Import growth raises deficit",1.0,High import growth and low remittance growth have resulted in a current account deficit.,CONFIRMED,"The quote appears verbatim in the article: ""High import growth and low remittance growth have resulted in a current account deficit."" This explicitly states a cause-and-effect relationship at the country-wide economic level, matching the claimed scope.",2023-01-10,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",worsens import balance,Import growth raises deficit,True,High Import Growth,worsens import balance,Current Account Deficit,(High Import Growth) ── worsens import balance ──> (Current Account Deficit),increase,(High Import Growth) ── increase ──> (imports),High Import Growth,(High Import Growth) ── increase ──> (imports),"""High Import Growth: Market Dynamics"""
2,llm_response_0042_Bangladesh_Sangbad_Sangstha_BSS_20230321.json,Essential Commodities now available at stable price in Khulna | District,2023-03-21,https://www.bssnews.net/district/116749,Bangladesh Sangbad Sangstha (BSS),imports,increases imports,Government boosts consumer imports,"2023-03-21, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> increases imports -> Government boosts consumer imports",1.0,The Government has taken necessary steps for increasing the imports of consumer goods to stabilize the market,CONFIRMED,"The quoted sentence appears in the article almost verbatim: the government took steps for increasing imports of consumer goods to stabilize the market. The text explicitly links increased imports with the aim of stabilizing the market and keeping prices at a tolerable level, and it is discussed at a broad government/market level rather than a single-company scope.",2023-03-21,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,Government boosts consumer imports,True,Government,increases imports,Consumer Goods,(Government) ── increases imports ──> (Consumer Goods),increase,(Government) ── increase ──> (imports),Government boosts consumer imports,(Government boosts consumer imports) ── increase ──> (imports),"""Government boosts consumer imports: Government Policy"""
3,llm_response_0053_Bangladesh_Sangbad_Sangstha_BSS_20230413.json,Businessmen will be happy seeing next budget: Kamal | Business,2023-04-13,https://www.bssnews.net/business/120673,Bangladesh Sangbad Sangstha (BSS),imports,reduces import cost,AIT cuts at import stage,"2023-04-13, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> reduces import cost -> AIT cuts at import stage",0.997,reducing Advance Income Tax (AIT) in phases at import stage at 3 percent from 5 percent to reduce the cost in industrial production and in trade and commerce.,CONFIRMED,"The article explicitly says FBCCI proposed ""reducing Advance Income Tax (AIT) in phases at import stage at 3 percent from 5 percent to reduce the cost in industrial production and in trade and commerce,"" which directly states the intended causal effect. The discussion is about national budget recommendations affecting country-wide trade/import policy, so the scope matches the claimed imports feature.",2023-04-13,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces import cost,AIT cuts at import stage,True,AIT Cuts,reduces import cost,Cost in Industrial Production,(AIT Cuts) ── reduces import cost ──> (Cost in Industrial Production),decrease,(AIT Cuts) ── decrease ──> (imports),AIT Reduction at Import Stage,(AIT Reduction at Import Stage) ── decrease ──> (imports),"""AIT Reduction at Import Stage: Government Policy"""
4,llm_response_0057_Irish_Sun_20230516.json,Bangladesh government should think twice before trading in Chinese currency: Report,2023-05-16,https://www.irishsun.com/news/273832902/bangladesh-government-should-think-twice-before-trading-in-chinese-currency-report,Irish Sun,imports,reduces import payment friction,Yuan payments aid imports,"2023-05-16, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> reduces import payment friction -> Yuan payments aid imports",0.988,"Bangladesh can lessen its reliance on the dollar by using the Yuan to pay for around 10 per cent of its import expenses,",CONFIRMED,"The article explicitly says, 'According to experts, Bangladesh can lessen its reliance on the dollar by using the Yuan to pay for around 10 per cent of its import expenses.' This directly states the causal effect on import payment reliance at the country level, matching the claimed scope.",2023-05-16,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",reduces import payment friction,Yuan payments aid imports,True,Yuan Payments,reduces import payment friction,Import Expenses,(Yuan Payments) ── reduces import payment friction ──> (Import Expenses),increase,(Yuan Payments) ── increase ──> (imports),Yuan Payments in Bangladesh,(Yuan Payments in Bangladesh) ── increase ──> (imports),"""Yuan Payments: Currency Movement"""
5,llm_response_0063_HR_ASIA_20230502.json,DHL Global Forwarding expands its dedicated Container Freight Station (CFS) space in Bangladesh to meet global garment export needs - HR ASIA,2023-05-02,https://hr.asia/media-outreach/dhl-global-forwarding-expands-its-dedicated-container-freight-station-cfs-space-in-bangladesh-to-meet-global-garment-export-needs/,HR ASIA,imports,accelerates import-export shipping,Port expansion speeds shipping,"2023-05-02, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> accelerates import-export shipping -> Port expansion speeds shipping",0.985,"will allow for quicker access to the port, where goods can be promptly shipped out on ocean freight.",CONFIRMED,"The quote appears nearly verbatim in the article: the expansion's strategic location “will allow for quicker access to the port, where goods can be promptly shipped out on ocean freight.” The text explicitly links the facility expansion to quicker port access and faster shipment, and it is discussed in the context of Bangladesh's trade through Chittagong Port, which handles most of the country's import-export trade.",2023-05-02,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",accelerates import-export shipping,Port expansion speeds shipping,True,Port Expansion,accelerates import-export shipping,Ocean Freight,(Port Expansion) ── accelerates import-export shipping ──> (Ocean Freight),increase,(Port Expansion) ── increase ──> (imports),Port Expansion Speeding Shipping,(Port Expansion Speeding Shipping) ── increase ──> (imports),"""Port Expansion: Infrastructure"""
6,llm_response_0108_Bangladesh_Sangbad_Sangstha_BSS_20230321.json,Essential Commodities now available at stable price in Khulna | District,2023-03-21,https://www.bssnews.net/district/116749,Bangladesh Sangbad Sangstha (BSS),imports,increases imports,Imports rise to stabilize market,"2023-03-21, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> increases imports -> Imports rise to stabilize market",0.993,prices of some essential products have decreased due to its huge imports.,CONFIRMED,"The article explicitly says, “prices of some essential products have decreased due to its huge imports,” which directly states the causal relationship. The discussion is about the general market and essential commodities in Khulna during Ramadan, matching the claimed scope of imports affecting prices.",2023-03-21,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases imports,Imports rise to stabilize market,True,Huge Imports,raises import-driven supply,Prices of Essential Products,(Huge Imports) ── raises import-driven supply ──> (Prices of Essential Products),increase,(Huge Imports) ── increase ──> (imports),Huge Imports,(Huge Imports) ── increase ──> (imports),"""Huge Imports: Market Dynamics"""
7,llm_response_0108_Bangladesh_Sangbad_Sangstha_BSS_20230321.json,Essential Commodities now available at stable price in Khulna | District,2023-03-21,https://www.bssnews.net/district/116749,Bangladesh Sangbad Sangstha (BSS),imports,raises import-driven supply,Huge imports cut prices,"2023-03-21, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> raises import-driven supply -> Huge imports cut prices",0.993,prices of some essential products have decreased due to its huge imports.,CONFIRMED,"The article explicitly says, “prices of some essential products have decreased due to its huge imports,” which directly states the causal relationship. The discussion is about the general market and essential commodities in Khulna during Ramadan, matching the claimed scope of imports affecting prices.",2023-03-21,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",raises import-driven supply,Huge imports cut prices,True,Huge Imports,raises import-driven supply,Prices of Essential Products,(Huge Imports) ── raises import-driven supply ──> (Prices of Essential Products),increase,(Huge Imports) ── increase ──> (imports),Huge Imports,(Huge Imports) ── increase ──> (imports),"""Huge Imports: Trade Policy"""
8,llm_response_0132_Hellenic_Shipping_News_20230620.json,Commodity Tracker: 5 charts to watch this week,2023-06-20,https://www.hellenicshippingnews.com/commodity-tracker-5-charts-to-watch-this-week-77/,Hellenic Shipping News,imports,increases import capacity,SPM boosts crude imports,"2023-06-20, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> increases import capacity -> SPM boosts crude imports",1.0,Bangladesh is poised to increase Middle Eastern crude imports and diesel trades.,CONFIRMED,"The article explicitly says Bangladesh is ""poised to increase Middle Eastern crude imports and diesel trades"" because the new SPM facility will bolster efficiency, and that BPC made additional imports in expectation that the facility would speed offloading. This is country-level discussion of Bangladesh’s imports, matching the claimed scope.",2023-06-20,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",increases import capacity,SPM boosts crude imports,True,SPM,increases import capacity,Middle Eastern Crude Imports,(SPM) ── increases import capacity ──> (Middle Eastern Crude Imports),increase,(SPM) ── increase ──> (imports),Bangladesh's SPM facility,(Bangladesh's SPM facility) ── increase ──> (imports),"""SPM facility: Infrastructure"""
9,llm_response_0158_MSN_International_Edition_20230217.json,Dollar crisis casts a shadow over operation of Rampal coal-fired power plant,2023-02-17,https://www.msn.com/en-xl/asia/bangladesh/dollar-crisis-casts-a-shadow-over-operation-of-rampal-coal-fired-power-plant/ar-AA17z4yx,MSN International Edition,imports,disrupts coal imports,Coal import delays plant operations,"2023-02-17, The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs. -> disrupts coal imports -> Coal import delays plant operations",1.0,The authorities of the power plant were unable to open any letter of credit (LC) to import coal due to the dollar crisis.,CONFIRMED,"The article explicitly says the plant was unable to open an LC to import coal due to the dollar crisis, which directly links the crisis to disrupted coal imports. This is about the Rampal plant’s coal imports, matching the feature and scope described.",2023-02-17,"The volume of goods brought in, driven by Letter of Credit (LC) availability and raw material needs.",disrupts coal imports,Coal import delays plant operations,True,Dollar Crisis,disrupts coal imports,Coal Imports,(Dollar Crisis) ── disrupts coal imports ──> (Coal Imports),decrease,(Dollar Crisis) ── decrease ──> (imports),Dollar Crisis at Rampal Plant,(Dollar Crisis at Rampal Plant) ── decrease ──> (imports),"""Dollar Crisis: Currency Movement"""
